role,edge_idx,Q_down_kw,mdot_design_kg_per_s,chosen_DN,inner_diameter_mm,v_calc_m_per_s,v_limit_ms,v_abs_max_ms,dp_per_m_est_pa,dp_per_m_max_pa,status,building_id,Q_building_kw
trunk,67.0,341.616405717985,2.0431603212798146,100,100.0,0.2681889193079649,1.2,2.5,9.341364023075412,200.0,ok,,
trunk,21.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,77.0,1391.3205430680173,8.321295114043165,100,100.0,1.0922682476918817,1.2,2.5,128.5917910601325,200.0,ok,,
trunk,68.0,303.4076225240839,1.8146388906942816,100,100.0,0.2381927829944647,1.2,2.5,7.528621315355233,200.0,ok,,
trunk,132.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,78.0,1340.9447171810862,8.020004289360562,100,100.0,1.0527202690886077,1.2,2.5,119.85329827431767,200.0,ok,,
trunk,69.0,230.0638353429419,1.3759798764530018,100,100.0,0.18061360736698612,1.2,2.5,4.567248088924964,200.0,ok,,
trunk,38.0,112.607047408439,0.6734871256485586,100,100.0,0.08840313827275917,1.2,2.5,1.2851961192789125,200.0,ok,,
trunk,79.0,1298.8083272231192,7.767992387698082,100,100.0,1.0196407310534963,1.2,2.5,112.77595325830862,200.0,ok,,
trunk,70.0,183.87176448729835,1.0997115100914974,100,100.0,0.14435012190195012,1.2,2.5,3.0578098545152224,200.0,ok,,
trunk,80.0,1248.6886496034099,7.468233550259629,100,100.0,0.9802938438668491,1.2,2.5,104.6329307549058,200.0,ok,,
trunk,71.0,168.28941156464595,1.0065156194057772,100,100.0,0.13211706072381876,1.2,2.5,2.611819747855755,200.0,ok,,
trunk,81.0,1209.7114216078437,7.235116157941649,100,100.0,0.9496944333034685,1.2,2.5,98.50706332066925,200.0,ok,,
trunk,72.0,115.35210300549804,0.6899049222816869,100,100.0,0.09055816795427657,1.2,2.5,1.3406280570930424,200.0,ok,,
trunk,82.0,1167.8738712949687,6.984891574730675,100,100.0,0.9168495019210884,1.2,2.5,92.13314436007377,200.0,ok,,
trunk,73.0,68.73311837115169,0.41108324384660105,100,100.0,0.05395953012819589,1.2,2.5,0.5451393019131235,200.0,ok,,
trunk,113.0,1167.8738712949687,6.984891574730675,100,100.0,0.9168495019210884,1.2,2.5,92.13314436007377,200.0,ok,,
trunk,114.0,1162.7850590528312,6.954456094813584,100,100.0,0.9128544857774356,1.2,2.5,91.37210488670772,200.0,ok,,
trunk,115.0,1157.9011654244712,6.925246204691813,100,100.0,0.9090203427670842,1.2,2.5,90.64461592581446,200.0,ok,,
trunk,116.0,1153.5893362595727,6.899457752748641,100,100.0,0.9056353039205328,1.2,2.5,90.00470462304018,200.0,ok,,
trunk,117.0,1148.1163016166029,6.866724291965328,100,100.0,0.9013386506519397,1.2,2.5,89.19565498100899,200.0,ok,,
trunk,2.0,1148.1163016166029,6.866724291965328,100,100.0,0.9013386506519397,1.2,2.5,89.19565498100899,200.0,ok,,
trunk,3.0,1144.7095296625546,6.84634886161815,100,100.0,0.8986641348108033,1.2,2.5,88.69385448613639,200.0,ok,,
trunk,119.0,1144.7095296625546,6.84634886161815,100,100.0,0.8986641348108033,1.2,2.5,88.69385448613639,200.0,ok,,
trunk,120.0,1110.4283532327192,6.641317902109565,100,100.0,0.8717514002189142,1.2,2.5,83.72149475622098,200.0,ok,,
trunk,121.0,1010.3170721269113,6.042566220854733,100,100.0,0.7931581715539332,1.2,2.5,70.0041407356225,200.0,ok,,
trunk,122.0,976.6762663651302,5.84136522945652,100,100.0,0.7667481655036111,1.2,2.5,65.66363502915394,200.0,ok,,
trunk,123.0,905.2535911881508,5.414196119546356,100,100.0,0.7106771755008336,1.2,2.5,56.89762586167423,200.0,ok,,
trunk,124.0,831.8244212512683,4.975026442890361,100,100.0,0.6530309694011462,1.2,2.5,48.52322198810361,200.0,ok,,
trunk,125.0,797.6286275771736,4.770506145796492,100,100.0,0.6261852652814661,1.2,2.5,44.84439230179826,200.0,ok,,
trunk,126.0,721.2110611893714,4.313463284625427,100,100.0,0.5661929926544657,1.2,2.5,37.13223313738362,200.0,ok,,
trunk,127.0,686.9725761374065,4.108687656324202,100,100.0,0.5393137732986814,1.2,2.5,33.90541288805133,200.0,ok,,
trunk,128.0,632.3276124634474,3.7818637109057858,100,100.0,0.49641427108496033,1.2,2.5,29.04916635011638,200.0,ok,,
trunk,129.0,520.4335110654421,3.112640616420108,100,100.0,0.4085708372551458,1.2,2.5,20.236864989516373,200.0,ok,,
trunk,130.0,490.5068551783754,2.933653440062054,100,100.0,0.3850766567459127,1.2,2.5,18.13891424057056,200.0,ok,,
trunk,131.0,400.94034440652683,2.397968567024682,100,100.0,0.31476169139873567,1.2,2.5,12.517703325603655,200.0,ok,,
trunk,6.0,400.94034440652683,2.397968567024682,100,100.0,0.31476169139873567,1.2,2.5,12.517703325603655,200.0,ok,,
trunk,7.0,333.1891277263916,1.9927579409473182,100,100.0,0.26157301170094266,1.2,2.5,8.925784263692542,200.0,ok,,
trunk,19.0,333.1891277263916,1.9927579409473182,100,100.0,0.26157301170094266,1.2,2.5,8.925784263692542,200.0,ok,,
