segment_order,direction,pipe_idx,pipe_name,from_junction_idx,to_junction_idx,from_junction_name,to_junction_name,velocity_m_per_s,diameter_mm,length_m
20,return_trunk_leaf_to_plant,251,pipe_R_456586.1_5734236.5_to_456572.2_5734234.2,231,229,R_456586.1_5734236.5,R_456572.2_5734234.2,0.4918368085840889,100.0,14.066005118695694
21,return_trunk_leaf_to_plant,249,pipe_R_456572.2_5734234.2_to_456569.9_5734233.8,229,227,R_456572.2_5734234.2,R_456569.9_5734233.8,0.5129227493918483,100.0,2.3426907605844454
22,return_trunk_leaf_to_plant,247,pipe_R_456569.9_5734233.8_to_456556.1_5734231.5,227,225,R_456569.9_5734233.8,R_456556.1_5734231.5,0.5582009244097589,100.0,14.006844755305826
23,return_trunk_leaf_to_plant,245,pipe_R_456556.1_5734231.5_to_456552.6_5734230.9,225,223,R_456556.1_5734231.5,R_456552.6_5734230.9,0.6022418469707845,100.0,3.5395197413998356
24,return_trunk_leaf_to_plant,243,pipe_R_456552.6_5734230.9_to_456540.7_5734228.8,223,221,R_456552.6_5734230.9,R_456540.7_5734228.8,0.6229855690138738,100.0,12.07841877083345
25,return_trunk_leaf_to_plant,241,pipe_R_456540.7_5734228.8_to_456531.2_5734227.2,221,219,R_456540.7_5734228.8,R_456531.2_5734227.2,0.6847165692563159,100.0,9.635460549350027
26,return_trunk_leaf_to_plant,239,pipe_R_456531.2_5734227.2_to_456526.7_5734226.5,219,217,R_456531.2_5734227.2,R_456526.7_5734226.5,0.7058551591047938,100.0,4.63441474199382
27,return_trunk_leaf_to_plant,7,pipe_R_456526.7_5734226.5_to_456502.2_5734222.1,217,215,R_456526.7_5734226.5,R_456502.2_5734222.1,0.7058551591047938,100.0,24.81145904609925
28,return_trunk_leaf_to_plant,5,pipe_R_456502.2_5734222.1_to_456473.8_5734217.0,215,213,R_456502.2_5734222.1,R_456473.8_5734217.0,0.707955855829462,100.0,28.92672293917086
29,return_trunk_leaf_to_plant,235,pipe_R_456473.8_5734217.0_to_456461.2_5734213.9,213,211,R_456473.8_5734217.0,R_456461.2_5734213.9,0.707955855829462,100.0,12.930034802805283
30,return_trunk_leaf_to_plant,233,pipe_R_456461.2_5734213.9_to_456455.2_5734212.5,211,209,R_456461.2_5734213.9,R_456455.2_5734212.5,0.7113306593395178,100.0,6.19216440334586
31,return_trunk_leaf_to_plant,231,pipe_R_456455.2_5734212.5_to_456440.5_5734208.9,209,207,R_456455.2_5734212.5,R_456440.5_5734208.9,0.7139894358958022,100.0,15.132303195677332
32,return_trunk_leaf_to_plant,229,pipe_R_456440.5_5734208.9_to_456434.2_5734207.4,207,205,R_456440.5_5734208.9,R_456434.2_5734207.4,0.7170009610249003,100.0,6.471050919161231
33,return_trunk_leaf_to_plant,227,pipe_R_456434.2_5734207.4_to_456423.8_5734204.9,205,203,R_456434.2_5734207.4,R_456423.8_5734204.9,0.720138843851723,100.0,10.6573730346512
34,return_trunk_leaf_to_plant,165,pipe_R_456423.8_5734204.9_to_456419.5_5734203.9,203,201,R_456423.8_5734204.9,R_456419.5_5734203.9,0.720138843851723,100.0,4.404543109144994
35,return_trunk_leaf_to_plant,163,pipe_R_456419.5_5734203.9_to_456413.7_5734202.5,201,197,R_456419.5_5734203.9,R_456413.7_5734202.5,0.7459368738037884,100.0,6.03931287480072
36,return_trunk_leaf_to_plant,161,pipe_R_456413.7_5734202.5_to_456398.9_5734198.8,197,195,R_456413.7_5734202.5,R_456398.9_5734198.8,0.7699711608917839,100.0,15.241263071148477
37,return_trunk_leaf_to_plant,159,pipe_R_456398.9_5734198.8_to_456393.0_5734197.4,195,193,R_456398.9_5734198.8,R_456393.0_5734197.4,0.8008761477935437,100.0,6.02959368445542
38,return_trunk_leaf_to_plant,157,pipe_R_456393.0_5734197.4_to_456378.2_5734193.8,193,187,R_456393.0_5734197.4,R_456378.2_5734193.8,0.8268584493881237,100.0,15.197674164196432
39,return_trunk_leaf_to_plant,155,pipe_R_456378.2_5734193.8_to_456372.0_5734192.3,187,183,R_456378.2_5734193.8,R_456372.0_5734192.3,0.857921383412039,100.0,6.432176925321707
40,return_trunk_leaf_to_plant,153,pipe_R_456372.0_5734192.3_to_456357.5_5734188.8,183,173,R_456372.0_5734192.3,R_456357.5_5734188.8,0.8918010411143941,100.0,14.860474420370911
41,return_trunk_leaf_to_plant,151,pipe_R_456357.5_5734188.8_to_456351.3_5734187.3,173,169,R_456357.5_5734188.8,R_456351.3_5734187.3,0.9271811964772265,100.0,6.439541909291795
42,return_trunk_leaf_to_plant,149,pipe_R_456351.3_5734187.3_to_456328.8_5734181.8,169,161,R_456351.3_5734187.3,R_456328.8_5734181.8,0.792046076944577,110.0,23.174798812459755
43,return_trunk_leaf_to_plant,57,pipe_R_456328.8_5734181.8_to_456293.8_5734173.1,161,155,R_456328.8_5734181.8,R_456293.8_5734173.1,0.792046076944577,110.0,35.99471211150891
